Date,ExecutionTime,Value
2025-12-01T19-30-58.1984Z,10,"1,10"
2025-12-02T19-30-58.1984Z,11,"2,20"
2025-12-03T19-30-58.1984Z,12,"3,30"
2025-12-04T19-30-58.1984Z,13,"4,40"
2025-12-05T19-30-58.1984Z,14,"5,50"
2025-12-06T19-30-58.1984Z,15,"6,60"
2025-12-07T19-30-58.1984Z,16,"7,70"
2025-12-08T19-30-58.1984Z,17,"8,80"
2025-12-09T19-30-58.1984Z,18,"9,90"
2025-12-10T19-30-58.1984Z,19,"11,00"
2025-12-11T19-30-58.1984Z,20,"12,10"
2025-12-12T19-30-58.1984Z,21,"13,20"
2025-12-13T19-30-58.1984Z,22,"14,30"
2025-12-14T19-30-58.1984Z,23,"15,40"
2025-12-15T19-30-58.1984Z,24,"16,50"
2025-12-16T19-30-58.1984Z,25,"17,60"
2025-12-17T19-30-58.1984Z,26,"18,70"
2025-12-18T19-30-58.1984Z,27,"19,80"
2025-12-19T19-30-58.1984Z,28,"20,90"
2025-12-20T19-30-58.1984Z,29,"22,00"
2025-12-21T19-30-58.1984Z,30,"23,10"
2025-12-22T19-30-58.1984Z,31,"24,20"
2025-12-23T19-30-58.1984Z,32,"25,30"
2025-12-24T19-30-58.1984Z,33,"26,40"
2025-12-25T19-30-58.1984Z,34,"27,50"
2025-12-26T19-30-58.1984Z,35,"28,60"
2025-12-27T19-30-58.1984Z,36,"29,70"
2025-12-28T19-30-58.1984Z,37,"30,80"
2025-12-29T19-30-58.1984Z,38,"31,90"
2025-12-30T19-30-58.1984Z,39,"33,00"
